city,state_id,state_name,lat,lng,timezone
Pueblo,CO,Colorado,38.2701,-104.6114,America/Denver
Temple,TX,Texas,31.1068,-97.3891,America/Chicago
Meridian,ID,Idaho,43.6116,-116.3977,America/Boise
Duluth,MN,Minnesota,46.7756,-92.1393,America/Chicago
The Woodlands,TX,Texas,30.1738,-95.5134,America/Chicago
Boulder,CO,Colorado,40.0248,-105.2524,America/Denver
Richardson,TX,Texas,32.9716,-96.7093,America/Chicago
Cambridge,MA,Massachusetts,42.3759,-71.1185,America/New_York
West Palm Beach,FL,Florida,26.7469,-80.132,America/New_York
Port Arthur,TX,Texas,29.8554,-93.9264,America/Chicago
East Los Angeles,CA,California,34.0326,-118.1691,America/Los_Angeles
Redding,CA,California,40.5698,-122.365,America/Los_Angeles
Clearwater,FL,Florida,27.979,-82.7623,America/New_York
Monroe,LA,Louisiana,32.5185,-92.0774,America/Chicago
Utica,NY,New York,43.0962,-75.2261,America/New_York
St. Cloud,MN,Minnesota,45.534,-94.1718,America/Chicago
Mandeville,LA,Louisiana,30.3751,-90.0904,America/Chicago
West Jordan,UT,Utah,40.6024,-112.0008,America/Denver
North Charleston,SC,South Carolina,32.9067,-80.0722,America/New_York
Richmond,CA,California,37.9477,-122.3389,America/Los_Angeles
Westminster,CO,Colorado,39.8837,-105.0624,America/Denver
Saginaw,MI,Michigan,43.4199,-83.9501,America/Detroit
Kailua,HI,Hawaii,21.392,-157.7396,Pacific/Honolulu
Brandon,FL,Florida,27.9367,-82.3,America/New_York
Ponce,PR,Puerto Rico,18.0127,-66.6212,America/Puerto_Rico
Carlsbad,CA,California,33.1246,-117.2834,America/Los_Angeles
Lowell,MA,Massachusetts,42.6389,-71.3217,America/New_York
Broken Arrow,OK,Oklahoma,36.038,-95.7806,America/Chicago
Elgin,IL,Illinois,42.0383,-88.324,America/Chicago
Gresham,OR,Oregon,45.5021,-122.4413,America/Los_Angeles
League City,TX,Texas,29.4874,-95.1087,America/Chicago
Downey,CA,California,33.9379,-118.1311,America/Los_Angeles
Waterloo,IA,Iowa,42.4918,-92.3522,America/Chicago
Murrieta,CA,California,33.5719,-117.1909,America/Los_Angeles
Leominster,MA,Massachusetts,42.5209,-71.7717,America/New_York
Longview,TX,Texas,32.5193,-94.7622,America/Chicago
Jacksonville,NC,North Carolina,34.7289,-77.3941,America/New_York
Pompano Beach,FL,Florida,26.2428,-80.1312,America/New_York
Bend,OR,Oregon,44.0563,-121.3095,America/Los_Angeles
Miami Gardens,FL,Florida,25.9433,-80.2426,America/New_York
Costa Mesa,CA,California,33.6667,-117.9135,America/Los_Angeles
Sioux City,IA,Iowa,42.4959,-96.3901,America/Chicago
Everett,WA,Washington,47.9525,-122.1669,America/Los_Angeles
Gilroy,CA,California,37.0046,-121.5854,America/Los_Angeles
San Buenaventura,CA,California,34.2741,-119.2314,America/Los_Angeles
Temecula,CA,California,33.4928,-117.1315,America/Los_Angeles
Sugar Land,TX,Texas,29.5935,-95.6358,America/Chicago
Chico,CA,California,39.7578,-121.8161,America/Los_Angeles
Eau Claire,WI,Wisconsin,44.8197,-91.4948,America/Chicago
